Engine 1 speed:2.6225, engine 2 speed: 6.29907, engine 3 speed: 2.69147, engine 4 speed: 6.38695
Engine 1 speed:2.63004, engine 2 speed: 6.39565, engine 3 speed: 2.60564, engine 4 speed: 6.36867
Engine 1 speed:2.53338, engine 2 speed: 6.45993, engine 3 speed: 2.62272, engine 4 speed: 6.38397
Engine 1 speed:2.5655, engine 2 speed: 6.50842, engine 3 speed: 2.51341, engine 4 speed: 6.41268
Engine 1 speed:2.46546, engine 2 speed: 6.50371, engine 3 speed: 2.53534, engine 4 speed: 6.49548
Engine 1 speed:2.5243, engine 2 speed: 6.57466, engine 3 speed: 2.4757, engine 4 speed: 6.42534
Engine 1 speed:2.43249, engine 2 speed: 6.51529, engine 3 speed: 2.56751, engine 4 speed: 6.48471
Engine 1 speed:2.42852, engine 2 speed: 6.63141, engine 3 speed: 2.57148, engine 4 speed: 6.36859
Engine 1 speed:2.53556, engine 2 speed: 6.5045, engine 3 speed: 2.46444, engine 4 speed: 6.4955
Engine 1 speed:2.4903, engine 2 speed: 6.49931, engine 3 speed: 2.5097, engine 4 speed: 6.50069
Engine 1 speed:2.47894, engine 2 speed: 6.45764, engine 3 speed: 2.52106, engine 4 speed: 6.54236
Engine 1 speed:2.51495, engine 2 speed: 6.55991, engine 3 speed: 2.48505, engine 4 speed: 6.44009
Engine 1 speed:2.58927, engine 2 speed: 6.52809, engine 3 speed: 2.41073, engine 4 speed: 6.47191
